image,username,password,name,email,address1,address2,speciality,degree,experience,about,fees,phone,dob,gender
https://randomuser.me/api/portraits/men/72.jpg,brenda.briggs95,Pass@5417,Brenda Briggs,brenda.briggs95@example.com,430 Michelle Harbor,"North Paulfurt, Maine",Gynecologist,MCh,9 Year,"Dr. Brenda Briggs, a skilled gynecologist, is highly regarded by patients for clear communication and diagnosis accuracy.",259,3364202893,1964-08-06,female
https://randomuser.me/api/portraits/men/72.jpg,erin.salas48,Pass@5341,Erin Salas,erin.salas48@example.com,127 Patrick Cape,"Smithberg, Nevada",Neurologist,MS,1 Year,"Dr. Erin Salas, a skilled neurologist, is dedicated to promoting wellness through preventive measures and lifestyle advice.",230,361.208.0559x813,1989-08-09,female
https://randomuser.me/api/portraits/men/72.jpg,elizabeth.marquez73,Pass@9123,Elizabeth Marquez,elizabeth.marquez73@example.com,438 Arthur Motorway Apt. 176,"Flowersport, Arkansas",Gastroenterologist,MCh,3 Year,"Dr. Elizabeth Marquez, a skilled gastroenterologist, is an advocate for mental and physical health balance.",159,(965)400-0491x449,1966-07-12,female
https://randomuser.me/api/portraits/men/72.jpg,james.davila39,Pass@1264,James Davila,james.davila39@example.com,5160 Reed Neck,"Mirandahaven, Wisconsin",Gynecologist,DO,2 Year,"Dr. James Davila, a skilled gynecologist, known for a compassionate approach and meticulous attention to patient care.",273,422-750-0149x1957,1975-12-26,male
https://randomuser.me/api/portraits/men/72.jpg,elizabeth.jensen52,Pass@4869,Elizabeth Jensen,elizabeth.jensen52@example.com,3801 Mark Loop,"Andersonfurt, Alabama",Gastroenterologist,MBBS,8 Year,"Dr. Elizabeth Jensen, a skilled gastroenterologist, is an advocate for mental and physical health balance.",157,402.942.8845x2847,1992-03-26,female
https://randomuser.me/api/portraits/men/72.jpg,john.hernandez45,Pass@2875,John Hernandez,john.hernandez45@example.com,98895 Andrew Lock Apt. 545,"West Billy, Wisconsin",Gynecologist,DM,5 Year,"Dr. John Hernandez, a skilled gynecologist, is an advocate for mental and physical health balance.",151,680.696.8137x05044,1989-10-13,male
https://randomuser.me/api/portraits/men/72.jpg,jacqueline.gregory69,Pass@5022,Jacqueline Gregory,jacqueline.gregory69@example.com,531 Craig Corner,"North Kelly, Ohio",Gynecologist,DO,9 Year,"Dr. Jacqueline Gregory, a skilled gynecologist, takes a holistic approach to medicine, combining traditional and modern practices.",151,001-380-871-9662,1975-01-11,female
https://randomuser.me/api/portraits/men/72.jpg,holly.jackson70,Pass@8313,Holly Jackson,holly.jackson70@example.com,9018 Julie Manor,"North Paula, Wisconsin",Dermatologist,DO,11 Year,"Dr. Holly Jackson, a skilled dermatologist, has led various community health initiatives with success.",245,401-326-4964,1978-11-19,female
https://randomuser.me/api/portraits/men/72.jpg,lisa.davis36,Pass@7069,Lisa Davis,lisa.davis36@example.com,122 William Station Apt. 123,"Baileyview, Arkansas",Dermatologist,DM,4 Year,"Dr. Lisa Davis, a skilled dermatologist, has led various community health initiatives with success.",269,971.776.0854,1975-09-24,female
https://randomuser.me/api/portraits/men/72.jpg,jennifer.stephens50,Pass@2426,Jennifer Stephens,jennifer.stephens50@example.com,3394 Christopher Gardens,"South Tammytown, Colorado",Neurologist,MD,14 Year,"Dr. Jennifer Stephens, a skilled neurologist, is passionate about research and continuous medical education.",195,967.689.5327,1972-05-28,female
https://randomuser.me/api/portraits/men/72.jpg,chad.white36,Pass@2997,Chad White,chad.white36@example.com,51265 Carlos Neck Apt. 854,"Port Raymond, Wisconsin",Gynecologist,MCh,8 Year,"Dr. Chad White, a skilled gynecologist, is dedicated to promoting wellness through preventive measures and lifestyle advice.",135,(503)674-7567,1966-11-04,male
https://randomuser.me/api/portraits/men/72.jpg,taylor.smith68,Pass@1338,Taylor Smith,taylor.smith68@example.com,7237 Gardner Harbors Suite 609,"Port Sarah, Nevada",Gynecologist,MS,6 Year,"Dr. Taylor Smith, a skilled gynecologist, is highly regarded by patients for clear communication and diagnosis accuracy.",117,590-978-2276,1994-06-27,female
https://randomuser.me/api/portraits/men/72.jpg,scott.huffman79,Pass@9620,Scott Huffman,scott.huffman79@example.com,122 Aaron Skyway Apt. 036,"East Ginaberg, New Hampshire",Neurologist,DM,5 Year,"Dr. Scott Huffman, a skilled neurologist, is highly regarded by patients for clear communication and diagnosis accuracy.",238,(721)417-0160x4746,1982-04-06,male
https://randomuser.me/api/portraits/men/72.jpg,mathew.david87,Pass@1029,Mathew David,mathew.david87@example.com,8537 Alvarez Parkways Suite 918,"Lake Williammouth, Utah",Gastroenterologist,DM,5 Year,"Dr. Mathew David, a skilled gastroenterologist, brings over a decade of expertise to the field.",226,699-470-1555x5312,1992-04-02,male
https://randomuser.me/api/portraits/men/72.jpg,melissa.christensen33,Pass@1624,Melissa Christensen,melissa.christensen33@example.com,8344 Martin Greens Apt. 934,"West Joanview, Texas",Gastroenterologist,MD,1 Year,"Dr. Melissa Christensen, a skilled gastroenterologist, specializes in advanced treatments and patient-centric care.",131,+1-365-835-0090x66249,1964-10-14,female
https://randomuser.me/api/portraits/men/72.jpg,maria.wright81,Pass@5728,Maria Wright,maria.wright81@example.com,88367 Malone Mill Apt. 518,"South Rubenton, Texas",Gynecologist,DO,13 Year,"Dr. Maria Wright, a skilled gynecologist, has received numerous accolades for excellence in healthcare services.",138,695.218.2999x722,1993-03-06,female
https://randomuser.me/api/portraits/men/72.jpg,jeffery.benitez19,Pass@3775,Jeffery Benitez,jeffery.benitez19@example.com,9214 Harris Skyway,"Nicholasland, Wyoming",Pediatricians,MBBS,5 Year,"Dr. Jeffery Benitez, a skilled pediatricians, is an advocate for mental and physical health balance.",111,(765)534-9436x074,1972-08-18,male
https://randomuser.me/api/portraits/men/72.jpg,thomas.montgomery4,Pass@4513,Thomas Montgomery,thomas.montgomery4@example.com,23255 Michael Drive Apt. 935,"Mosleyborough, Illinois",Gastroenterologist,MBBS,10 Year,"Dr. Thomas Montgomery, a skilled gastroenterologist, specializes in advanced treatments and patient-centric care.",184,205.592.1041,1977-01-02,male
https://randomuser.me/api/portraits/men/72.jpg,alexandra.hale56,Pass@9495,Alexandra Hale,alexandra.hale56@example.com,3393 Jones Valleys,"Nathanchester, Nebraska",General physician,MD,4 Year,"Dr. Alexandra Hale, a skilled general physician, is an advocate for mental and physical health balance.",289,+1-284-575-0438x17013,1964-04-23,female
https://randomuser.me/api/portraits/men/72.jpg,paul.wilson84,Pass@5043,Paul Wilson,paul.wilson84@example.com,181 Louis Valley Suite 425,"South Christophermouth, Illinois",Pediatricians,DM,14 Year,"Dr. Paul Wilson, a skilled pediatricians, is an advocate for mental and physical health balance.",104,+1-750-400-3512,1991-03-27,male
https://randomuser.me/api/portraits/men/72.jpg,megan.griffin95,Pass@5811,Megan Griffin,megan.griffin95@example.com,60585 Laurie Orchard Suite 241,"Rileystad, Delaware",Pediatricians,MBBS,14 Year,"Dr. Megan Griffin, a skilled pediatricians, takes a holistic approach to medicine, combining traditional and modern practices.",266,2156317145,1988-02-04,female
https://randomuser.me/api/portraits/men/72.jpg,michael.berg42,Pass@5191,Michael Berg,michael.berg42@example.com,9581 Carpenter Fort Apt. 822,"New Zachary, West Virginia",Dermatologist,MCh,8 Year,"Dr. Michael Berg, a skilled dermatologist, brings over a decade of expertise to the field.",271,+1-274-969-8861x45794,1981-04-26,male
https://randomuser.me/api/portraits/men/72.jpg,michael.schmidt24,Pass@8954,Michael Schmidt,michael.schmidt24@example.com,03281 Berry Fork,"Port Laurie, Missouri",Pediatricians,DM,15 Year,"Dr. Michael Schmidt, a skilled pediatricians, known for a compassionate approach and meticulous attention to patient care.",71,(459)720-6894x95401,1976-06-08,male
https://randomuser.me/api/portraits/men/72.jpg,kristy.snyder96,Pass@8934,Kristy Snyder,kristy.snyder96@example.com,51090 Reeves Station,"New Julie, New York",Gynecologist,DM,10 Year,"Dr. Kristy Snyder, a skilled gynecologist, specializes in advanced treatments and patient-centric care.",117,+1-384-251-6669,1987-06-04,female
https://randomuser.me/api/portraits/men/72.jpg,troy.roberts26,Pass@8167,Troy Roberts,troy.roberts26@example.com,7831 Craig View,"South Barry, Ohio",Gynecologist,DM,1 Year,"Dr. Troy Roberts, a skilled gynecologist, is an advocate for mental and physical health balance.",55,509.503.8659x9459,1981-02-09,male
